new_num_id,concept_id,brand_name,ingredient_num,ingredient,ingredient_1,atc code,atc_level
49435,40009897,1/2 Halfprin,1,aspirin,acetylsalicylic acid,B01AC06,5th level
224554,40228563,300 PRO LA,1,oxytetracycline,,D06AA03,5th level
232555,40234418,40 Winks,1,diphenhydramine,,D04AA32,5th level
261703,43526303,5-Way Calf Scour Bolus,1,oxytetracycline,,D06AA03,5th level
172370,40136040,60 Second,2,sodium fluoride,,A01AA01,5th level
172369,40136040,60 Second,1,hydrofluoric acid,,V03XX00,2nd level
278608,46233794,60 Second Taste,1,sodium fluoride,,A01AA01,5th level
213172,40173952,8-1 Marvel Aid,1,sulfadimethoxine,,J01ED01,5th level
110419,40065398,8-MOP,1,methoxsalen,,D05AD02,5th level
112624,40067084,A-Cillin,1,penicillin v,,J01CE00,4th level
189883,40148005,A-Cof DH,1,guaifenesin,,R05CA03,5th level
189884,40148005,A-Cof DH,2,hydrocodone,,R05DA03,5th level
62394,40021747,A-G Tussin,3,pseudoephedrine,,R01BA02,5th level
62393,40021747,A-G Tussin,2,hydrocodone,,R05DA03,5th level
62392,40021747,A-G Tussin,1,chlorpheniramine,chlorphenamine,R06AB04,5th level
24823,35604744,A-Hydrocort,1,hydrocortisone,,A01AC03,5th level
28645,35606596,A-MethaPred,1,methylprednisolone,,D07AA01,5th level
187699,40147236,A-Phedrin,1,pseudoephedrine,,R01BA02,5th level
187700,40147236,A-Phedrin,2,triprolidine,,R06AX07,5th level
65983,40026848,A.P.L.,1,chorionic gonadotropin,,G03GA01,5th level
65668,40026634,ACTH Gel,1,corticotropin,,H01AA01,5th level
65689,40026635,ACTH-40 HP,1,corticotropin,,H01AA01,5th level
65710,40026636,ACTH-80,1,corticotropin,,H01AA01,5th level
167497,40132473,ANTIROBE,1,clindamycin,,D10AF01,5th level
76483,40034563,AT 10,1,dihydrotachysterol,,A11CC02,5th level
35512,37499025,ATGAM,1,"lymphocyte immune globulin, anti-thymocyte globulin",,L04XX00,2nd level
283081,46276236,ATryn,1,antithrombin iii,,B01AB02,5th level
133582,40085631,Abbokinase,1,urokinase,,B01AD04,5th level
35953,37499286,Abelcet,1,amphotericin b,,A01AB04,5th level
143116,40094888,Abilify,1,aripiprazole,,N05AX12,5th level
283354,46276331,Abraxane,1,paclitaxel,,L01CD01,5th level
254395,42800931,Absorica,1,isotretinoin,,D10AD04,5th level
148219,40101213,Accolate,1,zafirlukast,,R03DC01,5th level
145510,40098151,Accupril,1,quinapril,,C09AA06,5th level
145531,40098152,Accupro,1,quinapril,,C09AA06,5th level
197821,40154690,Accuretic,1,hydrochlorothiazide,,C03AA03,5th level
197822,40154690,Accuretic,2,quinapril,,C09AA06,5th level
96433,40052509,Accutane,1,isotretinoin,,D10AD04,5th level
113989,40068358,Aceon,1,perindopril,,C09AA04,5th level
60061,40020852,Acepril,1,captopril,,C09AA01,5th level
