A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" generic drugs without prescription  order lioresal generic over the counter  fast order delivery  ",13,99.00,6.21,99.00,25.77,13.00,53.85,69.23,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,15.38,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,0.00,15.38,0.00,0.00,23.08,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,38.46,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" pharmacy without prescription  lioresal nombre comercial  airmail deliverynu0u0u0u0u0au0f u0u0u0",9,93.26,1.38,58.07,25.77,9.00,77.78,44.44,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" buy online without prescription u lioresal lu00eku00erna online u free delivery ",11,57.84,50.00,31.94,99.00,11.00,45.45,63.64,27.27,18.18,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,18.18,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" bupropion buy without rx  where to purchase zyban free delivery  medical blog health",13,93.26,6.21,63.54,99.00,13.00,38.46,84.62,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,7.69,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,23.08,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,7.69,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" no different than chantixzyban they'll sleep at night rationalizing they'd die anyway like everyone will",15,18.82,50.00,98.01,25.77,15.00,26.67,93.33,60.00,20.00,13.33,0.00,0.00,0.00,0.00,13.33,6.67,0.00,20.00,20.00,6.67,0.00,6.67,26.67,13.33,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,26.67,6.67,6.67,0.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00
" don't go off wellbutrin quickly or without doc's help; it's not a friendly withdrawal",14,29.30,1.00,99.00,25.77,14.00,35.71,85.71,50.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,14.29,14.29,0.00,7.14,21.43,21.43,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,0.00,0.00,21.43,0.00,0.00,0.00,7.14,0.00,21.43,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,14.29,14.29,0.00,7.14,0.00,0.00,0.00,21.43,0.00,21.43,14.29,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,21.43,0.00,0.00
" weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu  for more click u",15,84.62,97.69,1.00,25.77,15.00,26.67,80.00,20.00,13.33,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,6.67,13.33,6.67,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,26.67,0.00,13.33,0.00,20.00,26.67,6.67,20.00,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu ",11,80.14,96.52,1.00,25.77,11.00,36.36,72.73,9.09,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,36.36,0.00,18.18,0.00,27.27,36.36,9.09,27.27,9.09,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" back in the day all of my ed friends wanted to be on wellbutrin bc it kills appetite then they realized it jacked up anxiety",25,82.26,65.56,87.83,1.00,25.00,20.00,88.00,56.00,16.00,8.00,4.00,0.00,0.00,0.00,4.00,8.00,4.00,20.00,4.00,4.00,8.00,0.00,12.00,0.00,0.00,0.00,0.00,4.00,8.00,0.00,8.00,4.00,4.00,0.00,8.00,0.00,4.00,0.00,0.00,16.00,4.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,8.00,4.00,0.00,4.00,0.00,0.00,8.00,4.00,4.00,24.00,0.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet meal plans to lose weight wellbutrin weight loss forum us  unlike many dietu  for more click u",19,96.93,85.38,1.00,1.00,19.00,5.26,89.47,26.32,10.53,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,5.26,10.53,10.53,0.00,0.00,10.53,15.79,5.26,10.53,0.00,0.00,10.53,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,15.79,0.00,5.26,10.53,26.32,0.00,10.53,0.00,26.32,26.32,5.26,21.05,5.26,5.26,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
